id,name,url,source_group,opportunity_types,countries_covered,sectors,access_method,automation_priority,review_frequency,notes
indeed,Indeed,https://www.indeed.com/,Global job board,Jobs; Internships; Remote work,Global,All sectors,Search/RSS where available; manual review,Medium,Daily,"High volume, broad coverage. Check local Indeed domains and robots/terms before automation."
linkedin-jobs,LinkedIn Jobs,https://www.linkedin.com/jobs/,Global job board,Jobs; Internships; Remote work,Global,All sectors,Manual/editorial; avoid scraping without permission,Medium,Daily,"Strong corporate coverage, but automation is legally/technically sensitive."
glassdoor,Glassdoor Jobs,https://www.glassdoor.com/Job/,Global job board,Jobs; Internships,Global,All sectors,Manual/editorial,Low,Weekly,Useful for company jobs and salary context; automation restrictions likely.
monster,Monster,https://www.monster.com/,Global job board,Jobs; Internships,Multiple countries,All sectors,Manual/editorial,Low,Weekly,Broad job board; use selectively.
careerjet,Careerjet,https://www.careerjet.com/,Global aggregator,Jobs; Internships,Global,All sectors,Search pages; review terms,Medium,Daily,Aggregator with many country sub-sites.
jooble,Jooble,https://jooble.org/,Global aggregator,Jobs; Remote work,Global,All sectors,API/partner if approved; manual otherwise,Medium,Daily,Large global aggregator; confirm partner/API access before ingestion.
talent,Talent.com,https://www.talent.com/,Global aggregator,Jobs,Global,All sectors,Partner/API if approved; manual otherwise,Medium,Daily,Large aggregator with country targeting.
adzuna,Adzuna,https://www.adzuna.com/,Global aggregator/API,Jobs; Internships; Remote work,Multiple countries,All sectors,API,High,Daily,Good automation candidate because it offers structured job search API access.
ziprecruiter,ZipRecruiter,https://www.ziprecruiter.com/,Job board,Jobs; Remote work,US; UK; selected markets,All sectors,Manual/editorial or partner,Low,Weekly,Useful for US-heavy listings.
simplyhired,SimplyHired,https://www.simplyhired.com/,Job board,Jobs,US and selected markets,All sectors,Manual/editorial,Low,Weekly,Broad job listings; check terms.
jora,Jora,https://www.jora.com/,Job aggregator,Jobs,Multiple countries,All sectors,Manual/editorial,Low,Weekly,Useful in Asia-Pacific and selected markets.
google-careers-search,Google Search job sources,https://www.google.com/search?q=jobs,Search engine,Jobs; Internships; Remote work,Global,All sectors,Manual discovery only,Low,Weekly,"Use for finding official employer pages, not as an automated source."
remoteok,Remote OK,https://remoteok.com/,Remote job board,Remote work,Global/Remote,Technology; Design; Marketing; Support,RSS/API/manual,High,Daily,Strong source for remote tech and digital roles.
weworkremotely,We Work Remotely,https://weworkremotely.com/,Remote job board,Remote work,Global/Remote,Technology; Design; Marketing; Support,RSS/manual,High,Daily,Good remote-first source.
remotive,Remotive,https://remotive.com/remote-jobs,Remote job board,Remote work,Global/Remote,Technology; Marketing; Support; Product,API/RSS/manual,High,Daily,Good structured remote jobs source.
flexjobs,FlexJobs,https://www.flexjobs.com/,Remote/flexible board,Remote work; Jobs,Global/Remote,All sectors,Manual/editorial,Low,Weekly,Curated remote/flexible jobs; membership restrictions may apply.
wellfound,Wellfound,https://wellfound.com/jobs,Startup job board,Jobs; Internships; Remote work,Global,Startups; Technology,Manual/editorial,Medium,Weekly,Strong startup roles.
himalayas,Himalayas,https://himalayas.app/jobs,Remote job board,Remote work,Global/Remote,Technology; Operations; Marketing,Manual/editorial,Medium,Daily,Clean remote job board.
