title,organization,opportunity_type,category,country,location,work_mode,compensation,posted_date,deadline,source,source_url,summary
Senior Software Engineer (Java),Caterpillar,Jobs,Information Technology,India,"Chennai, Tamil Nadu, India",On-site,Not specified,2026-07-20,2026-07-22,Google web search - Caterpillar careers,https://careers.caterpillar.com/en/jobs/r0000382279/senior-software-engineer-java/,"Senior Software Engineer (Java) is an opportunity with Caterpillar. Java and AWS backend engineering role focused on Spring Boot, microservices, cloud-native services, APIs, testing, CI/CD, and production troubleshooting."
Project Chiron - French (Canada) Quality Control Specialist,Welo Global,Remote work opportunities,Information Technology,Canada,Canada,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/149466-project-chiron-french-canada-quality-control-specialist,"Project Chiron - French (Canada) Quality Control Specialist is an opportunity with Welo Global. <div> <div> <div> <p><strong>About the Role </strong></p> </div> <div> <p>We are looking for detail-oriented Quality Control (QC) Specialist to support an AI data annotation project. In this role, you will review the work submitted by Trainers — pre-seeded questions paired with images and their corresponding ""golden"" answers —..."
Clinical Data Team Lead,Thermo Fisher Scientific,Remote work opportunities,Health,Mexico,Mexico,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/149471-clinical-data-team-lead,Clinical Data Team Lead is an opportunity with Thermo Fisher Scientific. <p><b>Work Schedule</b></p><p>Standard (Mon-Fri)</p><p></p><p><b>Environmental Conditions</b></p><p>Office</p><p></p><p><b><u>Job Description</u></b></p><p></p><p>Join Us as a Clinical Data Team Lead – Make an Impact at the Forefront of Innovation<br>We have successfully supported the top 50 pharmaceutical companies and more than 750 biotechs...
Project Chiron - Spanish (Latin America) Quality Control Specialist,Welo Global,Remote work opportunities,Information Technology,Mexico,"Argentina, Mexico",Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/149468-project-chiron-spanish-latin-america-quality-control-specialist,"Project Chiron - Spanish (Latin America) Quality Control Specialist is an opportunity with Welo Global. <div> <div> <p>About the Role </p> </div> <div> <p>We are looking for detail-oriented Quality Control (QC) Specialist to support an AI data annotation project. In this role, you will review the work submitted by Trainers — pre-seeded questions paired with images and their corresponding ""golden"" answers — to confirm..."
Senior Data Engineer,Plain Concepts,Remote work opportunities,Information Technology,Spain,Spain,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/144144-senior-data-engineer,"Senior Data Engineer is an opportunity with Plain Concepts. <p> <strong>We’re Growing Our Data Dream Team!</strong></p><p>Titles? Meh, we’re not big on them, but let’s call this one <strong>Data Engineer</strong> </p><p>As part of our international Data squad, you’ll craft tailor-made solutions that wow our clients. We’re hunting for a passionate Data Engineer with a solid technical background. Your mission? Train, deploy..."
"Home- Soft Sourcing Managers, Soft Home (EUR)",Quince,Remote work opportunities,Operations & Logistics,Türkiye,"Europe, Türkiye",Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/144503-home-soft-sourcing-managers-soft-home-eur,"Home- Soft Sourcing Managers, Soft Home (EUR) is an opportunity with Quince. <div><p><strong><u>ABOUT QUINCE </u></strong></p> <p>Founded in 2018, Quince was built to challenge the idea that nice things have to cost a lot. Our mission is simple: to make really high quality essentials for really low prices, produced fairly and sustainably. We believe everyone deserves exceptional craftsmanship and timeless design without..."
AI Creative Producer,Elevenlabs,Remote work opportunities,Information Technology,United Kingdom,UK,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/144147-ai-creative-producer-2,"AI Creative Producer is an opportunity with Elevenlabs. <h2>About ElevenLabs</h2><p>ElevenLabs is an AI research and product company transforming how we interact with technology.</p><p>We launched in January 2023 with the first human-like AI voice model. Today, we serve millions of users and thousands of businesses - from fast-growing startups to large enterprises like Deutsche Telekom and Meta. Our investors are some of..."
Customer Support Engineer,Tailscale,Remote work opportunities,Information Technology,United Kingdom,UK,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/149458-customer-support-engineer,"Customer Support Engineer is an opportunity with Tailscale. <div><p><strong>About Tailscale </strong></p> <p>Tailscale is building the new Internet by delivering software that makes it easy to securely interconnect people and their devices, no matter where they are. From hobbyists to multinational corporations, teams of every size use Tailscale each day to protect their networks, share access to internal tools, and more..."
Sales Recruiter,AllCloud,Remote work opportunities,Business & Finance,United States,USA,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/149462-sales-recruiter,"Sales Recruiter is an opportunity with AllCloud. <h2>Description</h2><p><strong>About AllCloud</strong></p><p>AllCloud is a leader in amplifying organizations’ cloud potential through AI. With a track record of hundreds of successful migrations and implementations across AWS and Salesforce, AllCloud has developed strategies and solutions that enable businesses of all sizes to remain at the forefront of..."
Clinical Review Nurse - Concurrent Review,Centene Corporation,Remote work opportunities,Health,United States,USA,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/149475-clinical-review-nurse-concurrent-review,"Clinical Review Nurse - Concurrent Review is an opportunity with Centene Corporation. <p>You could be the one who changes everything for our 28 million members as a clinical professional on our Medical Management/Health Services team. Centene is a diversified, national organization offering competitive benefits including a fresh perspective on workplace flexibility.<br> </p><p>This is a remote role. This position has on..."
